"operon","genes"
"[[gene|frlB]]→[[gene|frlP]]","[[gene|frlB]]-[[gene|frlO]]-[[gene|frlN]]-[[gene|frlM]]-[[gene|frlD]]-[[gene|frlP]]"
"","[[gene|aimR]]-[[gene|aimP]]"
"[[gene|yerD]]","[[gene|yerD]]"
"[[gene|yusI]]→[[gene|yusG]]","[[gene|yusI]]-[[gene|gcvH]]-[[gene|yusG]]"
"[[gene|ymxH]]","[[gene|ymxH]]"
"[[gene|ybyB]]","[[gene|ybyB]]"
"[[gene|yisY]]","[[gene|yisY]]"
"[[gene|ykvO]]","[[gene|ykvO]]"
"[[gene|yhjG]]→[[gene|yhjH]]","[[gene|yhjG]]-[[gene|yhjH]]"
"[[gene|yslB]]","[[gene|yslB]]"
"[[gene|yjaV]]->[[gene|comZ]]","[[gene|yjaV]]-[[gene|med]]-[[gene|comZ]]"
"[[gene|mntA]]→[[gene|mntD]]","[[gene|mntA]]-[[gene|mntB]]-[[gene|mntC]]-[[gene|mntD]]"
"[[gene|polA]]->[[gene|ytaG]]","[[gene|polA]]-[[gene|mutM]]-[[gene|ytaF]]-[[gene|ytaG]]"
"[[gene|ycbP]]","[[gene|ycbP]]"
"[[gene|yjcH]]→[[gene|yjcF]]","[[gene|yjcH]]-[[gene|yjcG]]-[[gene|yjcF]]"
"[[gene|bglS]]","[[gene|bglS]]"
"[[gene|phrH]]","[[gene|phrH]]"
"[[gene|ytfP]]→[[gene|opuD]]","[[gene|ytfP]]-[[gene|opuD]]"
"[[gene|tkmA]]→[[gene|ugd]]","[[gene|tkmA]]-[[gene|ptkA]]-[[gene|ptpZ]]-[[gene|ugd]]"
"[[gene|secG]]→[[gene|ssrA]]","[[gene|secG]]-[[gene|yvaK]]-[[gene|rnr]]-[[gene|smpB]]-[[gene|ssrA]]"
"[[gene|ispC]]→[[gene|polC]]","[[gene|ispC]]-[[gene|rasP]]-[[gene|proS]]-[[gene|polC]]"
"[[gene|ynbA]]→[[gene|glnA]]","[[gene|ynbA]]-[[gene|ynbB]]-[[gene|glnR]]-[[gene|glnA]]"
"[[gene|defA]]→[[gene|yloN]]","[[gene|defA]]-[[gene|fmt]]-[[gene|yloM]]-[[gene|yloN]]"
"[[gene|sspM]]","[[gene|sspM]]"
"[[gene|cggR]]→[[gene|eno]]","[[gene|cggR]]-[[gene|gapA]]-[[gene|pgk]]-[[gene|tpi]]-[[gene|pgm]]-[[gene|eno]]"
"[[gene|ywcE]]","[[gene|ywcE]]"
"[[gene|ycbC]]→[[gene|ycbJ]]","[[gene|ycbC]]-[[gene|ycbD]]-[[gene|ycbE]]-[[gene|ycbF]]-[[gene|ycbG]]-[[gene|ycbH]]-[[gene|ycbJ]]"
"[[gene|sspG]]","[[gene|sspG]]"
"[[gene|lnrJ]]→[[gene|lnrK]]","[[gene|lnrJ]]-[[gene|lnrK]]"
"[[gene|S1559]]","[[gene|S1559]]"
"[[gene|tig]]","[[gene|tig]]"
"[[gene|yubF]]","[[gene|yubF]]"
"[[gene|dctB]]→[[gene|ydbD]]","[[gene|dctB]]-[[gene|ydbD]]"
"[[gene|yxeD]]","[[gene|yxeD]]"
"[[gene|ywqH]]→[[gene|ywqL]]","[[gene|ywqH]]-[[gene|ywqI]]-[[gene|ywqJ]]-[[gene|ywqK]]-[[gene|ywqL]]"
"[[gene|cotA]]","[[gene|cotA]]"
"[[gene|rtpA]]→[[gene|ycbK]]","[[gene|rtpA]]-[[gene|ycbK]]"
"[[gene|ppaC]]","[[gene|ppaC]]"
"[[gene|trpS]]","[[gene|trpS]]"
"[[gene|tapA]]→[[gene|tasA]]","[[gene|tapA]]-[[gene|sipW]]-[[gene|tasA]]"
"[[gene|rppH]]","[[gene|rppH]]"
"[[gene|dnaD]]→[[gene|nth]]","[[gene|dnaD]]-[[gene|nth]]"
"[[gene|yhfW]]","[[gene|yhfW]]"
"[[gene|ygaC]]→[[gene|ygaD]]","[[gene|ygaC]]-[[gene|ygaD]]"
"[[gene|yycO]]→[[gene|yycQ]]","[[gene|yycO]]-[[gene|yycP]]-[[gene|yycQ]]"
"[[gene|sspO]]→[[gene|sspP]]","[[gene|sspO]]-[[gene|sspP]]"
"[[gene|yxeI]]→[[gene|yxeJ]]","[[gene|yxeI]]-[[gene|yxeJ]]"
"[[gene|ftsW]]→[[gene|pycA]]","[[gene|ftsW]]-[[gene|pycA]]"
"[[gene|tagU]]","[[gene|tagU]]"
"[[gene|yhfH]]","[[gene|yhfH]]"
"[[gene|yesW]]→[[gene|yesZ]]","[[gene|yesW]]-[[gene|yesX]]-[[gene|yesY]]-[[gene|yesZ]]"
"[[gene|phrE]]","[[gene|phrE]]"
"[[gene|ydaF]]→[[gene|ydaG]]","[[gene|ydaF]]-[[gene|ydaG]]"
"[[gene|yqgP]]→[[gene|yqgS]]","[[gene|yqgP]]-[[gene|yqgO]]-[[gene|glcK]]-[[gene|yqgS]]"
"[[gene|yxaD]]","[[gene|yxaD]]"
"[[gene|yutD]]→[[gene|yutF]]","[[gene|yutD]]-[[gene|yutE]]-[[gene|yutF]]"
"[[gene|metN]]→[[gene|metQ]]","[[gene|metN]]-[[gene|metP]]-[[gene|metQ]]"
"[[gene|ysdC]]","[[gene|ysdC]]"
"[[gene|ydeB]]","[[gene|ydeB]]"
"[[gene|rpoE]]→[[gene|pyrG]]","[[gene|rpoE]]-[[gene|pyrG]]"
"[[gene|yfjM]]→[[gene|yfjL]]","[[gene|yfjM]]-[[gene|yfjL]]"
"[[gene|yugK]]","[[gene|yugK]]"
"[[gene|yycN]]","[[gene|yycN]]"
"[[gene|nifZ]]→[[gene|sspA]]","[[gene|nifZ]]-[[gene|thiI]]-[[gene|sspA]]"
"[[gene|yvqJ]]","[[gene|yvqJ]]"
"[[gene|sleB]]→[[gene|ypeB]]","[[gene|sleB]]-[[gene|ypeB]]"
"[[gene|ypmT]]","[[gene|ypmT]]"
"[[gene|ypfB]]","[[gene|ypfB]]"
"[[gene|abrB]]","[[gene|abrB]]"
"[[gene|sdpA]]→[[gene|sdpC]]","[[gene|sdpA]]-[[gene|sdpB]]-[[gene|sdpC]]"
"[[gene|yxxF]]","[[gene|yxxF]]"
"[[gene|tlpB]]","[[gene|tlpB]]"
"[[gene|ybfK]]→[[gene|psd]]","[[gene|ybfK]]-[[gene|pssA]]-[[gene|petA]]-[[gene|psd]]"
"[[gene|ackA]]","[[gene|ackA]]"
"[[gene|ntdA]]→[[gene|glcP]]","[[gene|ntdA]]-[[gene|ntdB]]-[[gene|ntdC]]-[[gene|glcP]]"
"[[gene|yuzK]]","[[gene|yuzK]]"
"[[gene|forC1]]→[[gene|forE1]]","[[gene|forC1]]-[[gene|forE1]]"
"[[gene|ydgK]]","[[gene|ydgK]]"
"[[gene|yybH]]→[[gene|yybI]]","[[gene|yybH]]-[[gene|yybI]]"
"[[gene|ipi]]","[[gene|ipi]]"
"[[gene|rplU]]→[[gene|rpmA]]","[[gene|rplU]]-[[gene|prp]]-[[gene|rpmA]]"
"[[gene|yjzD]]","[[gene|yjzD]]"
"[[gene|pghL]]","[[gene|pghL]]"
"[[gene|mneS]]","[[gene|mneS]]"
"[[gene|gcvH]]→[[gene|yusG]]","[[gene|gcvH]]-[[gene|yusG]]"
"[[gene|degR]]","[[gene|degR]]"
"[[gene|sucC]]→[[gene|topA]]","[[gene|sucC]]-[[gene|sucD]]-[[gene|dprA]]-[[gene|topA]]"
"[[gene|yrvJ]]","[[gene|yrvJ]]"
"[[gene|icd]]→[[gene|mdh]]","[[gene|icd]]-[[gene|mdh]]"
"[[gene|aldX]]","[[gene|aldX]]"
"[[gene|rrnD-16S]]→[[gene|rrnD-5S]]","[[gene|rrnD-16S]]-[[gene|rrnD-23S]]-[[gene|rrnD-5S]]"
"[[gene|ung]]","[[gene|ung]]"
"[[gene|gpsB]]→[[gene|ypsC]]","[[gene|gpsB]]-[[gene|rnpB]]-[[gene|ypsC]]"
"[[gene|yclE]]","[[gene|yclE]]"
"[[gene|niaP]]","[[gene|niaP]]"
"[[gene|yloC]]->[[gene|yloN]]","[[gene|yloC]]-[[gene|remA]]-[[gene|gmk]]-[[gene|yloH]]-[[gene|yloI]]-[[gene|priA]]-[[gene|defA]]-[[gene|fmt]]-[[gene|yloM]]-[[gene|yloN]]"
"[[gene|cssR]]→[[gene|cssS]]","[[gene|cssR]]-[[gene|cssS]]"
"[[gene|ytbD]]→[[gene|ytbE]]","[[gene|ytbD]]-[[gene|ytbE]]"
"[[gene|ykoS]]→[[gene|ykoT]]","[[gene|ykoS]]-[[gene|ykoT]]"
"[[gene|ytzI]]","[[gene|ytzI]]"
"[[gene|nagA]]→[[gene|nagR]]","[[gene|nagA]]-[[gene|nagB]]-[[gene|nagR]]"
"[[gene|pbpF]]","[[gene|pbpF]]"
"[[gene|yvbV]]","[[gene|yvbV]]"
"[[gene|mlpA]]","[[gene|mlpA]]"
"[[gene|nasA]]","[[gene|nasA]]"
"[[gene|serC]]→[[gene|trpP]]","[[gene|serC]]-[[gene|trpP]]"
"[[gene|ydiO]]→[[gene|ydiP]]","[[gene|ydiO]]-[[gene|ydiP]]"
"[[gene|ccpC]]","[[gene|ccpC]]"
"[[gene|yknU]]→[[gene|yknZ]]","[[gene|yknU]]-[[gene|yknV]]-[[gene|yknW]]-[[gene|yknX]]-[[gene|yknY]]-[[gene|yknZ]]"
"[[gene|catD]]→[[gene|catE]]","[[gene|catD]]-[[gene|catE]]"
"[[gene|nfu]]","[[gene|nfu]]"
"[[gene|hisS]]→[[gene|aspS]]","[[gene|hisS]]-[[gene|aspS]]"
"[[gene|gapB]]→[[gene|speD]]","[[gene|gapB]]-[[gene|speD]]"
"[[gene|ypwA]]","[[gene|ypwA]]"
"[[gene|yycR]]","[[gene|yycR]]"
"[[gene|yusS]]->[[gene|yusQ]]","[[gene|yusS]]-[[gene|yusR]]-[[gene|yusQ]]"
"[[gene|yycS]]","[[gene|yycS]]"
"[[gene|spoIIM]]","[[gene|spoIIM]]"
"[[gene|ansR]]","[[gene|ansR]]"
"[[gene|mtnK]]→[[gene|mtnA]]","[[gene|mtnK]]-[[gene|mtnA]]"
"[[gene|ywzF]]→[[gene|ureC]]","[[gene|ywzF]]-[[gene|ywzE]]-[[gene|ureA]]-[[gene|ureB]]-[[gene|ureC]]"
"[[gene|murE]]→[[gene|sbp]]","[[gene|murE]]-[[gene|mraY]]-[[gene|murD]]-[[gene|spoVE]]-[[gene|murG]]-[[gene|murB]]-[[gene|divIB]]-[[gene|ylxW]]-[[gene|ylxX]]-[[gene|sbp]]"
"[[gene|ywqM]]","[[gene|ywqM]]"
"[[gene|spoIIE]]","[[gene|spoIIE]]"
"[[gene|yrvC]]→[[gene|yrvD]]","[[gene|yrvC]]-[[gene|yrvD]]"
"[[gene|yfkF]]","[[gene|yfkF]]"
"[[gene|lytH]]","[[gene|lytH]]"
"[[gene|maeA]]→[[gene|ywkB]]","[[gene|maeA]]-[[gene|ywkB]]"
"[[gene|ybdO]]","[[gene|ybdO]]"
"[[gene|slp]]","[[gene|slp]]"
"[[gene|yvgN]]","[[gene|yvgN]]"
"[[gene|yjfA]]","[[gene|yjfA]]"
"[[gene|miaA]]→[[gene|hfq]]","[[gene|miaA]]-[[gene|hfq]]"
"[[gene|steT]]","[[gene|steT]]"
"[[gene|yqfX]]","[[gene|yqfX]]"
"[[gene|yveF]]→[[gene|padC]]","[[gene|yveF]]-[[gene|yveG]]-[[gene|padC]]"
"[[gene|ykuQ]]→[[gene|ykuS]]","[[gene|ykuQ]]-[[gene|ykuR]]-[[gene|ykuS]]"
"[[gene|yqzH]]","[[gene|yqzH]]"
"[[gene|yogA]]","[[gene|yogA]]"
"[[gene|ykaA]]→[[gene|pit]]","[[gene|ykaA]]-[[gene|pit]]"
"[[gene|cggR]]→[[gene|gapA]]","[[gene|cggR]]-[[gene|gapA]]"
"[[gene|cotM]]","[[gene|cotM]]"
"[[gene|yxbB]]→[[gene|yxnB]]","[[gene|yxbB]]-[[gene|yxbA]]-[[gene|yxnB]]"
"[[gene|pstS]]→[[gene|pstBB]]","[[gene|pstS]]-[[gene|pstC]]-[[gene|pstA]]-[[gene|pstBA]]-[[gene|pstBB]]"
"[[gene|rapH]]→[[gene|phrH]]","[[gene|rapH]]-[[gene|phrH]]"
"[[gene|yrdC]]","[[gene|yrdC]]"
"[[gene|msrA]]→[[gene|msrB]]","[[gene|msrA]]-[[gene|msrB]]"
"[[gene|spoIVCA]]","[[gene|spoIVCA]]"
"[[gene|ctpA]]","[[gene|ctpA]]"
"[[gene|pncA]]→[[gene|pncB]]","[[gene|pncA]]-[[gene|pncB]]"
"[[gene|yvbT]]","[[gene|yvbT]]"
"[[gene|dgkB]]→[[gene|rlmCD]]","[[gene|dgkB]]-[[gene|rlmCD]]"
"[[gene|pdaA]]","[[gene|pdaA]]"
"[[gene|yfmA]]→[[gene|yflT]]","[[gene|yfmA]]-[[gene|yflT]]"
"[[gene|ytdI]]","[[gene|ytdI]]"
"[[gene|yrvD]]","[[gene|yrvD]]"
"[[gene|nrdI]]→[[gene|ymaB]]","[[gene|nrdI]]-[[gene|nrdE]]-[[gene|nrdF]]-[[gene|ymaB]]"
"[[gene|gutB]]→[[gene|fruC]]","[[gene|gutB]]-[[gene|gutP]]-[[gene|fruC]]"
"[[gene|walR]]→[[gene|htrC]]","[[gene|walR]]-[[gene|walK]]-[[gene|walH]]-[[gene|walI]]-[[gene|walJ]]-[[gene|htrC]]"
"[[gene|yxiO]]","[[gene|yxiO]]"
"[[gene|kinB]]→[[gene|kapB]]","[[gene|kinB]]-[[gene|kapB]]"
"[[gene|dgkB]]→[[gene|yeeC]]","[[gene|dgkB]]-[[gene|rlmCD]]-[[gene|yefC]]-[[gene|dnmA]]-[[gene|yeeB]]-[[gene|yeeC]]"
"[[gene|mtrA]]→[[gene|yfnB]]","[[gene|mtrA]]-[[gene|yfnB]]"
"[[gene|gerE]]","[[gene|gerE]]"
"[[gene|spx]]","[[gene|spx]]"
"[[gene|infC]]→[[gene|ysdA]]","[[gene|infC]]-[[gene|rpmI]]-[[gene|rplT]]-[[gene|ysdA]]"
"[[gene|bacA]]→[[gene|bacF]]","[[gene|bacA]]-[[gene|bacB]]-[[gene|bacC]]-[[gene|bacD]]-[[gene|bacE]]-[[gene|bacF]]"
"[[gene|rlmP]]","[[gene|rlmP]]"
"[[gene|cypC]]","[[gene|cypC]]"
"[[gene|yukE]]","[[gene|yukE]]"
"[[gene|putR]]","[[gene|putR]]"
"[[gene|hxlR]]","[[gene|hxlR]]"
"[[gene|yraL]]","[[gene|yraL]]"
"[[gene|ylbP]]","[[gene|ylbP]]"
"[[gene|bceA]]→[[gene|bceB]]","[[gene|bceA]]-[[gene|bceB]]"
"[[gene|csfG]]","[[gene|csfG]]"
"[[gene|ohrB]]->[[gene|ykzN]]","[[gene|ohrB]]-[[gene|ykzN]]"
"[[gene|yceC]]→[[gene|yceH]]","[[gene|yceC]]-[[gene|yceD]]-[[gene|yceE]]-[[gene|meeF]]-[[gene|yceG]]-[[gene|yceH]]"
"[[gene|yclJ]]→[[gene|yclK]]","[[gene|yclJ]]-[[gene|yclK]]"
"[[gene|sigA]]","[[gene|sigA]]"
"[[gene|lepA]]→[[gene|hemN]]","[[gene|lepA]]-[[gene|hemN]]"
"[[gene|ytzB]]","[[gene|ytzB]]"
"[[gene|yfmM]]","[[gene|yfmM]]"
"[[gene|yvdT]]→[[gene|yvdR]]","[[gene|yvdT]]-[[gene|yvdS]]-[[gene|yvdR]]"
"[[gene|tagT]]","[[gene|tagT]]"
"[[gene|ydcF]]→[[gene|pamR]]","[[gene|ydcF]]-[[gene|ydcG]]-[[gene|pamR]]"
"[[gene|accD]]→[[gene|accA]]","[[gene|accD]]-[[gene|accA]]"
"[[gene|parE]]→[[gene|parC]]","[[gene|parE]]-[[gene|parC]]"
"[[gene|ydfK]]","[[gene|ydfK]]"
"[[gene|ispH]]","[[gene|ispH]]"
"[[gene|bdbD]]→[[gene|bdbC]]","[[gene|bdbD]]-[[gene|bdbC]]"
"[[gene|yhcQ]]","[[gene|yhcQ]]"
"[[gene|mreB]]→[[gene|minD]]","[[gene|mreB]]-[[gene|mreC]]-[[gene|mreD]]-[[gene|minC]]-[[gene|minD]]"
"[[gene|ytoI]]","[[gene|ytoI]]"
"[[gene|trpE]]→[[gene|trpA]]","[[gene|trpE]]-[[gene|trpD]]-[[gene|trpC]]-[[gene|trpF]]-[[gene|trpB]]-[[gene|trpA]]"
"[[gene|ktrD]]","[[gene|ktrD]]"
"[[gene|ywhC]]→[[gene|ywhD]]","[[gene|ywhC]]-[[gene|ywhD]]"
"[[gene|cotT]]","[[gene|cotT]]"
"[[gene|smpB]]→[[gene|ssrA]]","[[gene|smpB]]-[[gene|ssrA]]"
"[[gene|gabT]]→[[gene|gabD]]","[[gene|gabT]]-[[gene|gabD]]"
"[[gene|ybaK]]→[[gene|cwlD]]","[[gene|ybaK]]-[[gene|cwlD]]"
"[[gene|ohrA]]","[[gene|ohrA]]"
"[[gene|yxjH]]","[[gene|yxjH]]"
"[[gene|ybfO]]→[[gene|ybfQ]]","[[gene|ybfO]]-[[gene|ybfP]]-[[gene|ybfQ]]"
"[[gene|fer]]","[[gene|fer]]"
"[[gene|yrzH]]->[[gene|yrzT]]","[[gene|yrzH]]-[[gene|yrzT]]"
"[[gene|bsrB]]","[[gene|bsrB]]"
"[[gene|ymzA]]→[[gene|ymaB]]","[[gene|ymzA]]-[[gene|nrdI]]-[[gene|nrdE]]-[[gene|nrdF]]-[[gene|ymaB]]"
"[[gene|yycC]]→[[gene|yycB]]","[[gene|yycC]]-[[gene|yycB]]"
"[[gene|clsA]]","[[gene|clsA]]"
"[[gene|sufC]]→[[gene|sufB]]","[[gene|sufC]]-[[gene|sufD]]-[[gene|sufS]]-[[gene|sufU]]-[[gene|sufB]]"
"[[gene|ywbF]]->[[gene|ywbE]]","[[gene|ywbF]]-[[gene|ywbE]]"
"[[gene|yheG]]","[[gene|yheG]]"
"[[gene|cimH]]","[[gene|cimH]]"
"[[gene|yisQ]]","[[gene|yisQ]]"
"[[gene|gntZ]]","[[gene|gntZ]]"
"[[gene|ywtG]]","[[gene|ywtG]]"
"[[gene|uppS]]→[[gene|polC]]","[[gene|uppS]]-[[gene|cdsA]]-[[gene|ispC]]-[[gene|rasP]]-[[gene|proS]]-[[gene|polC]]"
"[[gene|yjgB]]","[[gene|yjgB]]"
"[[gene|ktrC]]","[[gene|ktrC]]"
"[[gene|yvmC]]→[[gene|cypX]]","[[gene|yvmC]]-[[gene|cypX]]"
"[[gene|lnrL]]→[[gene|lnrN]]","[[gene|lnrL]]-[[gene|lnrM]]-[[gene|lnrN]]"
"[[gene|ykzB]]→[[gene|ykoL]]","[[gene|ykzB]]-[[gene|ykoL]]"
"[[gene|yxbC]]→[[gene|yxbD]]","[[gene|yxbC]]-[[gene|yxbD]]"
"[[gene|catR]]","[[gene|catR]]"
"[[gene|csbB]]→[[gene|yfhO]]","[[gene|csbB]]-[[gene|yfhO]]"
"[[gene|csbC]]","[[gene|csbC]]"
"[[gene|sigKC]]","[[gene|sigKC]]"
"[[gene|ywrF]]","[[gene|ywrF]]"
"[[gene|fsrA]]","[[gene|fsrA]]"
"[[gene|panB]]→[[gene|aspB]]","[[gene|panB]]-[[gene|panC]]-[[gene|panD]]-[[gene|dinG]]-[[gene|ypmA]]-[[gene|tseB]]-[[gene|aspB]]"
"[[gene|yceK]]","[[gene|yceK]]"
"[[gene|pchR]]→[[gene|yvmA]]","[[gene|pchR]]-[[gene|yvmA]]"
"[[gene|fosB]]","[[gene|fosB]]"
"[[gene|yscB]]","[[gene|yscB]]"
"[[gene|sspH]]","[[gene|sspH]]"
"[[gene|ald]]-[[gene|yukJ]]","[[gene|ald]]-[[gene|yukJ]]"
"[[gene|pspA]]→[[gene|ydjI]]","[[gene|pspA]]-[[gene|ydjG]]-[[gene|ydjH]]-[[gene|ydjI]]"
"[[gene|pdhA]]→[[gene|pdhD]]","[[gene|pdhA]]-[[gene|pdhB]]-[[gene|pdhC]]-[[gene|pdhD]]"
"[[gene|cysK]]","[[gene|cysK]]"
"[[gene|rbgA]]→[[gene|ylqH]]","[[gene|rbgA]]-[[gene|rnhB]]-[[gene|ylqG]]-[[gene|ylqH]]"
"[[gene|cwlJ]]","[[gene|cwlJ]]"
"[[gene|yflT]]","[[gene|yflT]]"
"[[gene|rpsO]]","[[gene|rpsO]]"
"[[gene|cwlO]]","[[gene|cwlO]]"
"[[gene|ydaG]]","[[gene|ydaG]]"
"[[gene|yxlA]]","[[gene|yxlA]]"
"[[gene|ydfR]]","[[gene|ydfR]]"
"[[gene|yfkK]]","[[gene|yfkK]]"
"[[gene|ytaG]]","[[gene|ytaG]]"
"[[gene|ylbN]]→[[gene|rpmF]]","[[gene|ylbN]]-[[gene|rpmF]]"
"[[gene|fnr]]","[[gene|fnr]]"
"[[gene|glpT]]→[[gene|glpQ]]","[[gene|glpT]]-[[gene|glpQ]]"
"[[gene|disA]]","[[gene|disA]]"
"[[gene|bceR]]→[[gene|bceS]]","[[gene|bceR]]-[[gene|bceS]]"
"[[gene|azoR2]]","[[gene|azoR2]]"
"[[gene|rsfA]]","[[gene|rsfA]]"
"[[gene|rsbR]]→[[gene|rsbX]]","[[gene|rsbR]]-[[gene|rsbS]]-[[gene|rsbT]]-[[gene|rsbU]]-[[gene|rsbV]]-[[gene|rsbW]]-[[gene|sigB]]-[[gene|rsbX]]"
"[[gene|kdgR]]→[[gene|kdgT]]","[[gene|kdgR]]-[[gene|kdgK]]-[[gene|kdgA]]-[[gene|kdgT]]"
"[[gene|tpx]]→[[gene|ytxK]]","[[gene|tpx]]-[[gene|ytxK]]"
"[[gene|yybG]]","[[gene|yybG]]"
"[[gene|fra]]","[[gene|fra]]"
"[[gene|sigM]]→[[gene|yhdK]]","[[gene|sigM]]-[[gene|yhdL]]-[[gene|yhdK]]"
"[[gene|ybeF]]→[[gene|ybfB]]","[[gene|ybeF]]-[[gene|ybfA]]-[[gene|ybfB]]"
"[[gene|yitK]]","[[gene|yitK]]"
"[[gene|yddJ]]","[[gene|yddJ]]"
"[[gene|ytnP]]→[[gene|malS]]","[[gene|ytnP]]-[[gene|malS]]"
"[[gene|sipT]]","[[gene|sipT]]"
"[[gene|yhcR]]→[[gene|yhcS]]","[[gene|yhcR]]-[[gene|yhcS]]"
"[[gene|yqkB]]→[[gene|yqkC]]","[[gene|yqkB]]-[[gene|yqkC]]"
"[[gene|ysnF]]","[[gene|ysnF]]"
"[[gene|ansZ]]","[[gene|ansZ]]"
"[[gene|yqjF]]","[[gene|yqjF]]"
"[[gene|yvrE]]","[[gene|yvrE]]"
"[[gene|brxB]]","[[gene|brxB]]"
"[[gene|argS]]","[[gene|argS]]"
"[[gene|yitU]]→[[gene|yizC]]","[[gene|yitU]]-[[gene|yizC]]"
"[[gene|yrkA]]","[[gene|yrkA]]"
"[[gene|pnbA]]","[[gene|pnbA]]"
"[[gene|yfnD]]","[[gene|yfnD]]"
"[[gene|ymaF]]→[[gene|hfq]]","[[gene|ymaF]]-[[gene|miaA]]-[[gene|hfq]]"
"[[gene|yjmC]]→[[gene|uxaA]]","[[gene|yjmC]]-[[gene|yjmD]]-[[gene|uxuA]]-[[gene|yjmF]]-[[gene|exuT]]-[[gene|exuR]]-[[gene|uxaB]]-[[gene|uxaA]]"
"[[gene|ylxM]]→[[gene|rplS]]","[[gene|ylxM]]-[[gene|ffh]]-[[gene|rpsP]]-[[gene|khpA]]-[[gene|ylqD]]-[[gene|rimM]]-[[gene|trmD]]-[[gene|rplS]]"
"[[gene|ald]]","[[gene|ald]]"
"[[gene|leuS]]","[[gene|leuS]]"
"[[gene|spoVAA]]→[[gene|lysA]]","[[gene|spoVAA]]-[[gene|spoVAB]]-[[gene|spoVAC]]-[[gene|spoVAD]]-[[gene|spoVAEB]]-[[gene|spoVAEA]]-[[gene|spoVAF]]-[[gene|lysA]]"
"[[gene|citG]]","[[gene|citG]]"
"[[gene|ydjM]]","[[gene|ydjM]]"
"[[gene|yrzP]]→[[gene|yraA]]","[[gene|yrzP]]-[[gene|adhA]]-[[gene|yraA]]"
"[[gene|yqjY]]→[[gene|yqkC]]","[[gene|yqjY]]-[[gene|yqjZ]]-[[gene|yqkA]]-[[gene|yqkB]]-[[gene|yqkC]]"
"[[gene|yusG]]","[[gene|yusG]]"
"[[gene|yfnC]]","[[gene|yfnC]]"
"[[gene|ydzA]]","[[gene|ydzA]]"
"[[gene|yrhP]]","[[gene|yrhP]]"
"[[gene|adeC]]","[[gene|adeC]]"
"[[gene|gmuB]]→[[gene|gmuG]]","[[gene|gmuB]]-[[gene|gmuA]]-[[gene|gmuC]]-[[gene|gmuD]]-[[gene|gmuR]]-[[gene|gmuE]]-[[gene|gmuF]]-[[gene|gmuG]]"
"[[gene|sigY]]→[[gene|yxlG]]","[[gene|sigY]]-[[gene|yxlC]]-[[gene|yxlD]]-[[gene|yxlE]]-[[gene|yxlF]]-[[gene|yxlG]]"
"[[gene|brxA]]","[[gene|brxA]]"
"[[gene|spoIIB]]","[[gene|spoIIB]]"
"[[gene|rapI]]→[[gene|phrI]]","[[gene|rapI]]-[[gene|phrI]]"
"[[gene|yycD]]","[[gene|yycD]]"
"[[gene|yjzI]]","[[gene|yjzI]]"
"[[gene|yvbG]]","[[gene|yvbG]]"
"[[gene|secA]]→[[gene|prfB]]","[[gene|secA]]-[[gene|prfB]]"
"[[gene|menB]]→[[gene|menC]]","[[gene|menB]]-[[gene|menE]]-[[gene|menC]]"
"[[gene|aadK]]→[[gene|bstE]]","[[gene|aadK]]-[[gene|bstE]]"
"[[gene|mmgA]]→[[gene|mmgF]]","[[gene|mmgA]]-[[gene|mmgB]]-[[gene|mmgC]]-[[gene|mmgD]]-[[gene|mmgE]]-[[gene|mmgF]]"
"[[gene|sacT]]","[[gene|sacT]]"
"[[gene|yxdJ]]→[[gene|yxdK]]","[[gene|yxdJ]]-[[gene|yxdK]]"
"[[gene|glpD]]","[[gene|glpD]]"
"[[gene|dhaS]]","[[gene|dhaS]]"
"[[gene|fruR]]→[[gene|fruA]]","[[gene|fruR]]-[[gene|fruK]]-[[gene|fruA]]"
"[[gene|ygxB]]","[[gene|ygxB]]"
"[[gene|engA]]→[[gene|gpsA]]","[[gene|engA]]-[[gene|gpsA]]"
"[[gene|forC2]]→[[gene|forE2]]","[[gene|forC2]]-[[gene|forE2]]"
"[[gene|glyA]]","[[gene|glyA]]"
"[[gene|ybfO]]→[[gene|ybfP]]","[[gene|ybfO]]-[[gene|ybfP]]"
"[[gene|yvrD]]","[[gene|yvrD]]"
"[[gene|ftsY]]","[[gene|ftsY]]"
"[[gene|comEA]]→[[gene|comEC]]","[[gene|comEA]]-[[gene|comEB]]-[[gene|comEC]]"
"[[gene|gatC]]→[[gene|gatB]]","[[gene|gatC]]-[[gene|gatA]]-[[gene|gatB]]"
"[[gene|yrkC]]→[[gene|yrzN]]","[[gene|yrkC]]-[[gene|yrzN]]"
"[[gene|purT]]","[[gene|purT]]"
"[[gene|yuzF]]","[[gene|yuzF]]"
"[[gene|yitT]]→[[gene|ipi]]","[[gene|yitT]]-[[gene|ipi]]"
"[[gene|spbK]]","[[gene|spbK]]"
"[[gene|phrF]]","[[gene|phrF]]"
"[[gene|yfmG]]","[[gene|yfmG]]"
"[[gene|yaaH]]","[[gene|yaaH]]"
"[[gene|ywlF]]→[[gene|ywlG]]","[[gene|ywlF]]-[[gene|ywlG]]"
"[[gene|yrbG]]","[[gene|yrbG]]"
"[[gene|ympA]]→[[gene|aspB]]","[[gene|ypmA]]-[[gene|tseB]]-[[gene|aspB]]"
"[[gene|yobN]]→[[gene|yobO]]","[[gene|yobN]]-[[gene|yobO]]"
