"operon","genes"
"[[gene|gltC]]","[[gene|gltC]]"
"[[gene|ebrA]]→[[gene|ebrB]]","[[gene|ebrA]]-[[gene|ebrB]]"
"[[gene|yhjN]]","[[gene|yhjN]]"
"[[gene|nsrR]]","[[gene|nsrR]]"
"[[gene|spo0E]]","[[gene|spo0E]]"
"[[gene|metK]]→[[gene|alaP]]","[[gene|metK]]-[[gene|asnB]]-[[gene|alaP]]"
"[[gene|ykwB]]","[[gene|ykwB]]"
"[[gene|mntH]]","[[gene|mntH]]"
"[[gene|yxiB]]","[[gene|yxiB]]"
"[[gene|aseR]]->[[gene|ydzS/2]]","[[gene|aseR]]-[[gene|aseA]]-[[gene|ydzS/1]]-[[gene|ydzS/2]]"
"[[gene|sirA]]→[[gene|yneF]]","[[gene|sirA]]-[[gene|yneF]]"
"[[gene|ydaB]]","[[gene|ydaB]]"
"[[gene|nap]]","[[gene|nap]]"
"[[gene|sigV]]→[[gene|yrhK]]","[[gene|sigV]]-[[gene|rsiV]]-[[gene|oatA]]-[[gene|yrhK]]"
"[[gene|ywtE]]","[[gene|ywtE]]"
"[[gene|yoyG]]","[[gene|yoyG]]"
"[[gene|putP]]","[[gene|putP]]"
"[[gene|mcpC]]","[[gene|mcpC]]"
"[[gene|yrkO]]->[[gene|yrkN]]","[[gene|yrkO]]-[[gene|yrkN]]"
"[[gene|rpmH]]→[[gene|jag]]","[[gene|rpmH]]-[[gene|rnpA]]-[[gene|yidC1]]-[[gene|jag]]"
"[[gene|ycgR]]->[[gene|ycgQ]]","[[gene|ycgR]]-[[gene|ycgQ]]"
"[[gene|ugtP]]","[[gene|ugtP]]"
"[[gene|cmk]]→[[gene|rpsA]]","[[gene|cmk]]-[[gene|rpsA]]"
"[[gene|yvgT]]","[[gene|yvgT]]"
"[[gene|yloC]]->[[gene|yloH]]","[[gene|yloC]]-[[gene|remA]]-[[gene|gmk]]-[[gene|yloH]]"
"[[gene|yvnB]]","[[gene|yvnB]]"
"[[gene|ylaI]]","[[gene|ylaI]]"
"[[gene|rnjB]]","[[gene|rnjB]]"
"[[gene|yolC]]","[[gene|yolC]]"
"[[gene|efeU]]→[[gene|efeB]]","[[gene|efeU]]-[[gene|efeO]]-[[gene|efeB]]"
"[[gene|spo0A]]","[[gene|spo0A]]"
"[[gene|pyrR]]→[[gene|pyrE]]","[[gene|pyrR]]-[[gene|pyrP]]-[[gene|pyrB]]-[[gene|pyrC]]-[[gene|pyrAA]]-[[gene|pyrAB]]-[[gene|pyrK]]-[[gene|pyrD]]-[[gene|pyrF]]-[[gene|pyrE]]"
"[[gene|ytcP]]→[[gene|ytcQ]]","[[gene|ytcP]]-[[gene|ytcQ]]"
"[[gene|yjcP]]→[[gene|yjcQ]]","[[gene|yjcP]]-[[gene|yjcQ]]"
"[[gene|yhfE]]→[[gene|yhfF]]","[[gene|yhfE]]-[[gene|yhfF]]"
"[[gene|hutP]]→[[gene|hutM]]","[[gene|hutP]]-[[gene|hutH]]-[[gene|hutU]]-[[gene|hutI]]-[[gene|hutG]]-[[gene|hutM]]"
"[[gene|parA]]→[[gene|parB]]","[[gene|parA]]-[[gene|parB]]"
"[[gene|pnpA]]","[[gene|pnpA]]"
"[[gene|yfiQ]]","[[gene|yfiQ]]"
"[[gene|tilS]]→[[gene|ftsH]]","[[gene|tilS]]-[[gene|hprT]]-[[gene|ftsH]]"
"[[gene|ynxB]]","[[gene|ynxB]]"
"[[gene|lipC]]","[[gene|lipC]]"
"[[gene|yebE]]->[[gene|yebG]]","[[gene|yebE]]-[[gene|yebG]]"
"[[gene|hypR]]","[[gene|hypR]]"
"[[gene|yetH]]","[[gene|yetH]]"
"[[gene|yqjN]]","[[gene|yqjN]]"
"[[gene|ptb]]→[[gene|bkdB]]","[[gene|ptb]]-[[gene|bcd]]-[[gene|buk]]-[[gene|lpdV]]-[[gene|bkdAA]]-[[gene|bkdAB]]-[[gene|bkdB]]"
"[[gene|yizB]]→[[gene|yitR]]","[[gene|yizB]]-[[gene|yitQ]]-[[gene|yitR]]"
"","[[gene|ylxM]]-[[gene|ffh]]-[[gene|rpsP]]-[[gene|khpA]]"
"[[gene|tgl]]","[[gene|tgl]]"
"[[gene|murQ]]→[[gene|namZ]]","[[gene|murQ]]-[[gene|murR]]-[[gene|murP]]-[[gene|amiE]]-[[gene|nagZ]]-[[gene|namZ]]"
"[[gene|chrS]]→[[gene|ywrA]]","[[gene|chrS]]-[[gene|ywrB]]-[[gene|ywrA]]"
"[[gene|comZ]]","[[gene|comZ]]"
"[[gene|lip]]","[[gene|lip]]"
"[[gene|yabM]]→[[gene|yabR]]","[[gene|yabM]]-[[gene|yabN]]-[[gene|rqcP]]-[[gene|yabP]]-[[gene|yabQ]]-[[gene|divIC]]-[[gene|yabR]]"
"[[gene|dps]]","[[gene|dps]]"
"[[gene|ktrA]]→[[gene|ktrB]]","[[gene|ktrA]]-[[gene|ktrB]]"
"[[gene|rpsD]]","[[gene|rpsD]]"
"[[gene|pksS]]","[[gene|pksS]]"
"[[gene|nadB]]→[[gene|nadA]]","[[gene|nadB]]-[[gene|nadC]]-[[gene|nadA]]"
"[[gene|immR]]→[[gene|int]]","[[gene|immR]]-[[gene|immA]]-[[gene|int]]"
"[[gene|levD]]→[[gene|sacC]]","[[gene|levD]]-[[gene|levE]]-[[gene|levF]]-[[gene|levG]]-[[gene|sacC]]"
"[[gene|ydfG]]","[[gene|ydfG]]"
"[[gene|hemAT]]","[[gene|hemAT]]"
"[[gene|ccpN]]→[[gene|yqfL]]","[[gene|ccpN]]-[[gene|yqfL]]"
"[[gene|yckE]]","[[gene|yckE]]"
"[[gene|yukJ]]","[[gene|yukJ]]"
"[[gene|yfiZ]]->[[gene|yfhA]]","[[gene|yfiZ]]-[[gene|yfhA]]"
"[[gene|yqkF]]","[[gene|yqkF]]"
"[[gene|rpmB]]","[[gene|rpmB]]"
"[[gene|bpr]]","[[gene|bpr]]"
"[[gene|ywoB]]→[[gene|ywoD]]","[[gene|ywoB]]-[[gene|ywoC]]-[[gene|ywoD]]"
"[[gene|acoA]]→[[gene|acoL]]","[[gene|acoA]]-[[gene|acoB]]-[[gene|acoC]]-[[gene|acoL]]"
"[[gene|antE]]","[[gene|antE]]"
"[[gene|yqfW]]","[[gene|yqfW]]"
"[[gene|acpA]]","[[gene|acpA]]"
"[[gene|pbpE]]→[[gene|racX]]","[[gene|pbpE]]-[[gene|racX]]"
"[[gene|yhcM]]","[[gene|yhcM]]"
"[[gene|recA]]","[[gene|recA]]"
"[[gene|ytdA]]","[[gene|ytdA]]"
"[[gene|yetJ]]→[[gene|yetK]]","[[gene|yetJ]]-[[gene|yetK]]"
"[[gene|yjoB]]","[[gene|yjoB]]"
"[[gene|pel]]","[[gene|pel]]"
"[[gene|comFA]]→[[gene|csrA]]","[[gene|comFA]]-[[gene|comFB]]-[[gene|comFC]]-[[gene|yvyF]]-[[gene|flgM]]-[[gene|flgN]]-[[gene|flgK]]-[[gene|flgL]]-[[gene|yviE]]-[[gene|fliW]]-[[gene|csrA]]"
"[[gene|yhdT]]","[[gene|yhdT]]"
"[[gene|xhlA]]→[[gene|xlyA]]","[[gene|xhlA]]-[[gene|xhlB]]-[[gene|xlyA]]"
"[[gene|yflL]]","[[gene|yflL]]"
"[[gene|yybO]]","[[gene|yybO]]"
"[[gene|thrD]]","[[gene|thrD]]"
"[[gene|nrnB]]","[[gene|nrnB]]"
"[[gene|ymfK/1]]→[[gene|rodZ]]","[[gene|ymfK/1]]-[[gene|ymfK/2]]-[[gene|rodZ]]"
"[[gene|ycgH]]","[[gene|ycgH]]"
"[[gene|yczL]]→[[gene|zagA]]","[[gene|yczL]]-[[gene|zagA]]"
"[[gene|prfA]]→[[gene|yfkF]]","[[gene|prfA]]-[[gene|prmC]]-[[gene|yfkF]]"
"[[gene|yppD]]→[[gene|yppE]]","[[gene|yppD]]-[[gene|yppE]]"
"[[gene|yxeK]]→[[gene|yxeQ]]","[[gene|yxeK]]-[[gene|snaB]]-[[gene|yxeM]]-[[gene|yxeN]]-[[gene|yxeO]]-[[gene|sndB]]-[[gene|yxeQ]]"
"[[gene|yxiB]]→[[gene|yxxE]]","[[gene|yxiB]]-[[gene|yxiC]]-[[gene|yxiD]]-[[gene|yxxD]]-[[gene|yxxE]]"
"[[gene|ylmD]]→[[gene|ylmH]]","[[gene|ylmD]]-[[gene|ylmE]]-[[gene|sepF]]-[[gene|ylmG]]-[[gene|ylmH]]"
"[[gene|yraG]]→[[gene|yraD]]","[[gene|yraG]]-[[gene|yraF]]-[[gene|adhB]]-[[gene|yraE]]-[[gene|yraD]]"
"[[gene|bstB]]","[[gene|bstB]]"
"[[gene|yusZ]]→[[gene|mrgA]]","[[gene|yusZ]]-[[gene|mrgA]]"
"[[gene|yqzO]]→[[gene|yqaN]]","[[gene|yqzO]]-[[gene|yqaN]]"
"[[gene|ytzL]]","[[gene|ytzL]]"
"[[gene|yufS]]","[[gene|yufS]]"
"[[gene|rpsB]]->[[gene|frr]]","[[gene|rpsB]]-[[gene|tsf]]-[[gene|pyrH]]-[[gene|frr]]"
"[[gene|mleN]]→[[gene|mleA]]","[[gene|mleN]]-[[gene|mleA]]"
"[[gene|ampS]]","[[gene|ampS]]"
"[[gene|yetI]]→[[gene|yezB]]","[[gene|yetI]]-[[gene|yezB]]"
"[[gene|capB]]→[[gene|capE]]","[[gene|capB]]-[[gene|capC]]-[[gene|capA]]-[[gene|capE]]"
"[[gene|mreBH]]→[[gene|ykpC]]","[[gene|mreBH]]-[[gene|ykpC]]"
"[[gene|yvaF]]->[[gene|yvaD]]","[[gene|yvaF]]-[[gene|yvaE]]-[[gene|yvaD]]"
"[[gene|gamA]]→[[gene|gamP]]","[[gene|gamA]]-[[gene|gamP]]"
"[[gene|ldt]]","[[gene|ldt]]"
"[[gene|aag]]→[[gene|yxzF]]","[[gene|aag]]-[[gene|yxzF]]"
"[[gene|yesL]]->[[gene|rhgL]]","[[gene|yesL]]-[[gene|rhgK]]-[[gene|rhgL]]"
"[[gene|ywiE]]->[[gene|ywjB]]","[[gene|ywiE]]-[[gene|ywjA]]-[[gene|ywjB]]"
"[[gene|ydhD]]","[[gene|ydhD]]"
"[[gene|surA]]","[[gene|surA]]"
"[[gene|serS]]","[[gene|serS]]"
"[[gene|yozL]]→[[gene|yobH]]","[[gene|yozL]]-[[gene|yozK]]-[[gene|yobH]]"
"[[gene|yxjN]]","[[gene|yxjN]]"
"[[gene|yvdA]]→[[gene|yvdB]]","[[gene|yvdA]]-[[gene|yvdB]]"
"[[gene|pksC]]→[[gene|pksR]]","[[gene|pksC]]-[[gene|pksD]]-[[gene|pksE]]-[[gene|acpK]]-[[gene|pksF]]-[[gene|pksG]]-[[gene|pksH]]-[[gene|pksI]]-[[gene|pksJ]]-[[gene|pksL]]-[[gene|pksM]]-[[gene|pksN]]-[[gene|pksR]]"
"[[gene|ruvA]]→[[gene|yrbF]]","[[gene|ruvA]]-[[gene|ruvB]]-[[gene|yrzS]]-[[gene|queA]]-[[gene|tgt]]-[[gene|yrbF]]"
"[[gene|tcyP]]","[[gene|tcyP]]"
"[[gene|mtnE]]","[[gene|mtnE]]"
"[[gene|prpC]]→[[gene|yloS]]","[[gene|prpC]]-[[gene|prkC]]-[[gene|cpgA]]-[[gene|rpeA]]-[[gene|yloS]]"
"[[gene|yxeF]]→[[gene|yxeH]]","[[gene|yxeF]]-[[gene|yxeG]]-[[gene|yxeH]]"
"[[gene|yobT]]→[[gene|csaA]]","[[gene|yobT]]-[[gene|yobS]]-[[gene|yobR]]-[[gene|yobQ]]-[[gene|csaA]]"
"[[gene|yvlA]]→[[gene|yvlD]]","[[gene|yvlA]]-[[gene|yvlB]]-[[gene|yvlC]]-[[gene|yvlD]]"
"[[gene|purA]]","[[gene|purA]]"
"[[gene|lipA]]","[[gene|lipA]]"
"[[gene|folEB]]→[[gene|zagA]]","[[gene|folEB]]-[[gene|yciB]]-[[gene|yczL]]-[[gene|zagA]]"
"[[gene|ydzF]]→[[gene|ydeN]]","[[gene|ydzF]]-[[gene|ydeN]]"
"[[gene|yqhV]]→[[gene|spoIIIAH]]","[[gene|yqhV]]-[[gene|spoIIIAA]]-[[gene|spoIIIAB]]-[[gene|spoIIIAC]]-[[gene|spoIIIAD]]-[[gene|spoIIIAE]]-[[gene|spoIIIAF]]-[[gene|spoIIIAG]]-[[gene|spoIIIAH]]"
"[[gene|yuxL]]","[[gene|yuxL]]"
"[[gene|yojK]]","[[gene|yojK]]"
"[[gene|rocG]]","[[gene|rocG]]"
"[[gene|ctsR]]→[[gene|disA]]","[[gene|ctsR]]-[[gene|mcsA]]-[[gene|mcsB]]-[[gene|clpC]]-[[gene|radA]]-[[gene|disA]]"
"[[gene|yuzD]]","[[gene|yuzD]]"
"[[gene|cotC]]","[[gene|cotC]]"
"[[gene|hemA]]→[[gene|hemL]]","[[gene|hemA]]-[[gene|hemX]]-[[gene|hemC]]-[[gene|hemD]]-[[gene|hemB]]-[[gene|hemL]]"
"[[gene|glnR]]→[[gene|glnA]]","[[gene|glnR]]-[[gene|glnA]]"
"[[gene|rqcH]]","[[gene|rqcH]]"
"","[[gene|6181A5F1CBD1E7268CD1DD9A41BE10771EB3D905]]"
"[[gene|yjiA]]","[[gene|yjiA]]"
"[[gene|spoIVB]]","[[gene|spoIVB]]"
"[[gene|yusV]]->[[gene|yusU]]","[[gene|yusV]]-[[gene|yusU]]"
"[[gene|cotG]]","[[gene|cotG]]"
"[[gene|yodT]]→[[gene|yozE]]","[[gene|yodT]]-[[gene|yodS]]-[[gene|yodR]]-[[gene|yodQ]]-[[gene|yodP]]-[[gene|kamA]]-[[gene|yokU]]-[[gene|yozE]]"
"[[gene|yebC]]","[[gene|yebC]]"
"[[gene|glgB]]→[[gene|glgP]]","[[gene|glgB]]-[[gene|glgC]]-[[gene|glgD]]-[[gene|glgA]]-[[gene|glgP]]"
"[[gene|phoA]]","[[gene|phoA]]"
"[[gene|ybgG]]","[[gene|ybgG]]"
"[[gene|ywhB]]","[[gene|ywhB]]"
"[[gene|comGA]]→[[gene|spoIIIL]]","[[gene|comGA]]-[[gene|comGB]]-[[gene|comGC]]-[[gene|comGD]]-[[gene|comGE]]-[[gene|comGF]]-[[gene|comGG]]-[[gene|spoIIIL]]"
"[[gene|degS]]→[[gene|degU]]","[[gene|degS]]-[[gene|degU]]"
"[[gene|ypuB]]->[[gene|ypuC/2]]","[[gene|ypuB]]-[[gene|ypuC/1]]-[[gene|ypuC/2]]"
"[[gene|ahrC]]→[[gene|recN]]","[[gene|ahrC]]-[[gene|recN]]"
"[[gene|ydzR]]","[[gene|ydzR]]"
"[[gene|gcvT]]→[[gene|gcvPB]]","[[gene|gcvT]]-[[gene|gcvPA]]-[[gene|gcvPB]]"
"[[gene|ywmD]]","[[gene|ywmD]]"
"[[gene|gtaB]]","[[gene|gtaB]]"
"[[gene|ykpA]]","[[gene|ykpA]]"
"[[gene|ycxC]]→[[gene|ycxB]]","[[gene|ycxC]]-[[gene|ycxB]]"
"[[gene|S477]]->[[gene|ykoP]]","[[gene|S477]]-[[gene|ykoP]]"
"[[gene|gerKD]]","[[gene|gerKD]]"
"[[gene|yfmB]]→[[gene|fecC]]","[[gene|yfmB]]-[[gene|fecC]]"
"[[gene|murG]]→[[gene|sbp]]","[[gene|murG]]-[[gene|murB]]-[[gene|divIB]]-[[gene|ylxW]]-[[gene|ylxX]]-[[gene|sbp]]"
"[[gene|nupN]]→[[gene|nupQ]]","[[gene|nupN]]-[[gene|nupO]]-[[gene|nupP]]-[[gene|nupQ]]"
"[[gene|yqfQ]]→[[gene|ispH]]","[[gene|yqfQ]]-[[gene|ispH]]"
"[[gene|fbp]]","[[gene|fbp]]"
"[[gene|yxbF]]","[[gene|yxbF]]"
"[[gene|ybcL]]","[[gene|ybcL]]"
"[[gene|yfmK]]","[[gene|yfmK]]"
"[[gene|nhaX]]","[[gene|nhaX]]"
"[[gene|yodL]]","[[gene|yodL]]"
"[[gene|swrAA/2]]→[[gene|minJ]]","[[gene|swrAA/2]]-[[gene|minJ]]"
"[[gene|yisX]]","[[gene|yisX]]"
"[[gene|besA]]","[[gene|besA]]"
"[[gene|yetJ]]","[[gene|yetJ]]"
"[[gene|cmk]]→[[gene|fni]]","[[gene|cmk]]-[[gene|rpsA]]-[[gene|fni]]"
"[[gene|ymfC]]","[[gene|ymfC]]"
"[[gene|papB]]","[[gene|papB]]"
"[[gene|hbs]]","[[gene|hbs]]"
"[[gene|ypnP]]","[[gene|ypnP]]"
"[[gene|kre]]","[[gene|kre]]"
"[[gene|yutG]]","[[gene|yutG]]"
"[[gene|yhdR]]","[[gene|yhdR]]"
"[[gene|yjlC]]→[[gene|ndh]]","[[gene|yjlC]]-[[gene|ndh]]"
"[[gene|atpI]]→[[gene|atpC]]","[[gene|atpI]]-[[gene|atpB]]-[[gene|atpE]]-[[gene|atpF]]-[[gene|atpH]]-[[gene|atpA]]-[[gene|atpG]]-[[gene|atpD]]-[[gene|atpC]]"
"[[gene|yncC]]","[[gene|yncC]]"
"[[gene|ydcA]]","[[gene|ydcA]]"
"[[gene|rnz]]→[[gene|rpmGC]]","[[gene|rnz]]-[[gene|rpmGC]]"
"[[gene|rnhB]]→[[gene|ylqH]]","[[gene|rnhB]]-[[gene|ylqG]]-[[gene|ylqH]]"
"[[gene|lytG]]-[[gene|yubF]]","[[gene|lytG]]-[[gene|yubF]]"
"[[gene|queC]]→[[gene|queF]]","[[gene|queC]]-[[gene|queD]]-[[gene|queE]]-[[gene|queF]]"
"[[gene|ycnE]]→[[gene|ycnD]]","[[gene|ycnE]]-[[gene|ycnD]]"
"[[gene|yfnH]]→[[gene|yfnD]]","[[gene|yfnH]]-[[gene|yfnG]]-[[gene|yfnF]]-[[gene|yfnE]]-[[gene|yfnD]]"
"[[gene|ylaK]]->[[gene|ylaM]]","[[gene|ylaK]]-[[gene|ylaM]]"
"[[gene|ygxA]]→[[gene|rrnD-5S]]","[[gene|ygxA]]-[[gene|rrnD-16S]]-[[gene|rrnD-23S]]-[[gene|rrnD-5S]]"
"[[gene|yozN]]→[[gene|yocN]]","[[gene|yozN]]-[[gene|yocN]]"
"[[gene|yfmI]]→[[gene|yfmJ]]","[[gene|yfmI]]-[[gene|yfmJ]]"
"[[gene|ypjC]]","[[gene|ypjC]]"
"[[gene|gabD]]","[[gene|gabD]]"
"[[gene|yuzL]]","[[gene|yuzL]]"
"[[gene|ywmA]]","[[gene|ywmA]]"
"[[gene|ypuA]]","[[gene|ypuA]]"
"[[gene|manP]]→[[gene|yjdF]]","[[gene|manP]]-[[gene|manA]]-[[gene|yjdF]]"
"[[gene|rpsU]]→[[gene|yqeY]]","[[gene|rpsU]]-[[gene|yqeY]]"
"[[gene|tatAY]]→[[gene|tatCY]]","[[gene|tatAY]]-[[gene|tatCY]]"
"[[gene|yhaR]]","[[gene|yhaR]]"
"[[gene|xylR]]","[[gene|xylR]]"
"[[gene|yqaS]]","[[gene|yqaS]]"
"[[gene|sunI]]","[[gene|sunI]]"
"[[gene|yrhH]]","[[gene|yrhH]]"
"[[gene|ynfC]]","[[gene|ynfC]]"
